review,sentiment
"You don't review James Bond movies, you evaluate them, rate them according to how well they meet expectations. There are certain things one has come to expect, even demand of a Bond film and each individual effort either delivers or it doesn't. So, here are ten elements that make a Bond film a Bond film. And even though NEVER SAY NEVER AGAIN is not technically part of the official Bond filmography, the mere presence of Sean Connery returning as 007 makes it something more than merely an honorary member of the series. Anyway, here's how it rates on a scale of 1 to 10: <br /><br />Title: NEVER SAY NEVER AGAIN: The clever title has no apparent link to the actual storyline, but is instead an in-joke reference to Sean Connery's vow to never play OO7 again after having been lured back once before for DIAMONDS ARE FOREVER. Whatever the case, it is a catchy title. 8 points.<br /><br />Pre-Credit Teaser: Perhaps trying to avoid any obvious parallels to the official EON series of Bond films, there is no Teaser; the opening scenes are just shown behind the credits. And even that is disappointing: yet another ""oh-no, Bond has been killed"" fakeout. 4 points.<br /><br />Opening Credits: Other than a screen full of tiny 007's, they didn't even bother trying to jazz up the credits with graphics or split screens or interesting camera angles. 1 points.<br /><br />Theme Song: As written by Michel LeGrand and sung by Lani Hall ""Never Say Never Again"" would make for a perfectly pleasant part of a particularly long elevator ride. As a Bond theme, it's merely okay. 6 points.<br /><br />""Bond, James Bond"": Appropriately, since this film sees Connery being lured back into service as Bond after a decade's hiatus, the story begins with 007 facing the question as to whether Bond/Connery is still up to the job. Happily, Connery more than proves himself ready for Bondage again. Though he is a bit grayer, sporting a bit more girth and wearing a slightly more obvious toupee, he seems to have no trouble slipping back into action. All in all, it is one of Connery's best, and most relaxed, turns as the character. 9 points.<br /><br />Bond Babes: Even in the best of the Bond films, the female characters aren't given much dimension; they exist largely as necessary props for Bond's use. Future Oscar-winner Kim Basinger is granted a great deal of leeway in creating her character of Domino Petachi and the film benefits from this. She does a nice job -- and she's not bad to look at either. 8 points.<br /><br />Bond Villain: The reports of his death being obviously exaggerated, Blofeld is back -- at least, for the moment -- showing he has more lives than his prized pussycat. One-time Jesus portrayer-turned-stereotypical villain, Max von Sydow isn't given a lot to do in the role, but is a silky presence nonetheless. But he is overshadowed by a wonderful performance by Klaus Maria Brandauer as Maximilian Largo. After a string of banal Bond villains, it is so refreshing for Brandauer to gave a performance that is both subtle, yet colorfully evil. Funny without being campy, ruthless without seeming cartoonish; his Largo ranks right up there with Auric Goldfinger as one of Bond's best villains. 10 points.<br /><br />Bond Baddies: Fatima Blush! What can I say? As played with all the bold style of a particularly flamboyant drag queen, Barbara Carrera breezes through the film, displaying a mix of self-amused evil and more than a tad of pure psychotic insanity. Bond has crossed paths with a variety of femmes fatales, most of whom have been so easily disposed of that they existed more as amusing eye candy than as characters. But few dared to exhibit such a flare for the dramatic or such fierce determination. Even her untimely demise is spectacular, even by Bondian standards. 10 points.<br /><br />Sinister Plot: As a remake of sorts of THUNDERBALL, the film does seem a bit been-there-done-that: nuclear missiles are stolen and major real estate will go kaboom if all the countries of the world don't pay a multi-kazillion dollar ransom. But at least producer Kevin McClory was lucky enough to find himself forced to remake one of the weakest Bond adventures. By comparisons, this effort blows THUNDERBALL out of the water. And despite the absence of many Bondian trademarks, the film succeeds on its own. 9 points.<br /><br />Production values: The film starts out with an uneasy style, like a TV movie trying to be more than it can. But as the story progress, the film gains momentum and a sense of purpose, making it a superior adventure. 8 points. <br /><br />Bonus Points: There are several odd changes that sets this Bond film apart from the official series. Miss Moneypenny is hardly acknowledged; as played by Edward Fox, ""M"" is a cranky old grouch with no respect for the ""Double Os,"" a foreshadowing of how Judi Dench would later play the part; and ""Q"" suddenly has a cockney accent and is all buddy-buddy with Bond. And there is a curious sense of nostalgia throughout the film, such as replacing Bond's Astin-Martin with a vintage Packard and a tango dance number that is cleverly inserted into the story. And a big rescue near the end is on horseback, an homage to THE RAIDERS OF THE LOST ARK, which was itself a tribute to the Bond films. 5 points.<br /><br />Summary: NEVER SAY NEVER AGAIN is a mixed bag. In the really important areas, it more than holds it own thanks to hero Connery, villain Brandauer, assassin Carrera and damsel-in-distress Basinger. But the devil is in the details; as seemingly unimportant as the opening credits, theme song and such seem, the film is lacking because of their absence. It all comes off as a faux Bond film; a very good substitute, but a substitute nonetheless.<br /><br />Bond-o-meter Rating: 78 points out of 100.",positive
"I can't believe that there are people out there who voted 10 for this garbage! Have any of you gained access to a computer in the madhouse where you are undoubtably kept, or is there a special colony where especially crass people are secretly imprisoned that I don't know about?<br /><br />If I was to say what I really thought of this film, none of it would get published.<br /><br />To begin with its 'star' is a no talent idiot who acts like a bad impersonator of Jim Carrey who has hoovered enough angel dust up his nose to resurface the Sahara desert. His name will be a total guarantee that I will not watch a future film with him in it - even if he plays a rock hidden by a crowd.<br /><br />As for the 'plot'. One more crime that we can chalk up to the Nazis is that they were so awful that they can be considered fair game as 'baddies' in tripe like this; mere criminals and murderers would have the audience on their side in a trice.<br /><br />To the people who made this movie - Give up making films and if not then confine yourself to making advertisements, where your efforts will at least have the virtue of being fleeting in duration.<br /><br />Finally, a criticism of IMDB - Why don't you have the facility to vote 'Zero' for a film? Or perhaps not. To express my contempt for this tripe I would then have to vote double zero, or something.",negative
"This is definitely the worst vampire flicks of all times. I started to watch this right after Interview With the vampire and I was thoroughly disappointed. Not only did this movie's script have craters as big as the grand canyon, the movie seemed to jump from one scene to another leaving the viewers thoroughly puzzled. The vampire Lestat played by Stuart Townsend was terrible-having a good body does not make you an actor! The end of the queen was too easy and sudden, insulting the viewers intelligence. I'll give this one star because Aaliyah actually tried her best in this movie and the soundtrack is pretty good. Other than that I would advice Anne Rice to take an ax and start hacking those who destroyed her brilliant story.",negative
"This film is worth seeing since it is a classic in the sense of being the very first full length film released in the process of three demention. It was not very good in its acting or story plot, but can be a great movie quiz question from an historical standpoint. It should be seen in the 3 D process with polarized lenses.",negative
"My Architect is a great film about Nathaniel Kahn's search for himself via the legacy of his famous Architect father, Louis Kahn, dead since 1974. The film builds slowly, but perfectly, and what starts out as a seemingly lost fortysomething's identity crisis unfolds into a beautiful tale with much deeper meaning with regard to the importance of love, loss, family and perhaps more importantly, our life's work.<br /><br />I had never heard of Louis Kahn prior to this film, although I was vaguely familiar with some of his work. Through the words (both good and bad) of Louis Kahn's colleagues, you get a very good sense of what Nathaniel must have felt as memories are recalled and stories retold. Sometimes it seemed as though these people were telling Nathaniel how to feel about his father. As I listened to each recollection, my own opinion of this man would range from beautiful to horrible, sometimes in the span of a moment, so you get a good feel for the rollercoaster that Nathaniel's emotions must have been riding.<br /><br />The final sequence in Bangladesh totally made the film for me. The reverence of which the people of Bangladesh spoke of Louis Kahn's work tied all the loose ends together nicely for me, and, hopefully, for Nathaniel.<br /><br />I think Nathaniel Kahn finally found what he was looking for.",positive
"All you could ever hope for if your a Jackass fan.As always Knoxville & his crew risk life & limb just for our viewing entertainment. If you are fan of the series & of the first movie you won't be let down like most sequel often do. The jokes they pull on each other as twice as funny,cruel,crude as ever before & the stunts & dares are twice as rough as any Jackass episode you have ever seen. If your a fan don't waste time go check it out for yourself because on Jackaass standards this movie is an easy 10 out of 10 just for the opening credits alone, I can't go into detail without spoilers but you've got to see it to believe it.",positive
"""Only the Valiant"" qualifies as a gritty good western. This Gregory Peck cavalry versus the Indians oater is a solemn suicide mission without a trace of humor. Veteran director Gordon Douglas has helmed a grim, harrowing outdoors epic with an ideal cast of tough guys under considerable pressure; even Lon Chaney, Jr., registers superbly as a powerful Arab trooper. Ostensibly, ""Colorado Territory"" scenarist Edmund H. North & ""A Place in the Sun"" scribe Harry Brown drew their screenplay from western film maker Charles Marquis Warren's taut novel about a group of die-hard cavalrymen cut off from any escape route who must prevent murderous redskins from launching a devastating raid against helpless white settlers. North and Brown stick to Warren's novel for the most part and the last minute revelation--when it seems that there is no way that our heroes can survive another onslaught of Native Americansis a corker! This turn-of-the-century tale develops an effective claustrophobic feeling in the second half of the action. Douglas and company take studio bound sets and make them look convincing during the nocturnal hours. The crisp black & white photography of ""Going My Way"" cinematographer Lionel Linden imbues this western a grim look that accentuates its tension and atmosphere. Actor Michael Ansara, who later played the chief villain in ""Guns of the Magnificent Seven,"" is extremely effective in a small role as the hated Indian leader Tucsos.<br /><br />""Only the Valiant"" opens with over-voice narration by Army Scout Joe Harmony. ""This is my stamping ground. I'm a scout for the Army. Had my work cut out for me for a long time. Behind that pass there is the whole 'Pache nation. (There is a graphic of the territory with the Flinthead Mountains stretching across the screen with a bottleneck pass.) They used to come swarming out of the pass killing everything in sights. Then we built a fortFort Invincible. It plugged up the pass, just like a cork in a bottle. Things was fine for a while. But them 'Paches is pretty smart. One day the bottle blew the cork plum apart."" We are shown the burning remains of Fort Invincible with a dead man pinned to a stockade wall and a lance sticking out of his belly. Captain Richard Lance (Gregory Peck of ""12 O'Clock High"") and his men boil in on horseback and capture Tucsos (Michael Ansara), and Joe Harmony (Jeff Corey of ""True Grit"") wants to shoot him on the spot. Harmony points out Tucsos is ""the fella that started this whole business."" Captain Lance intervenes, ""The Army doesn't shoot prisoners, Joe."" Predictably, Harmony is aghast at this prospect. ""He's no common injun. He's just as near to a god as a fella can get. If you shoot him now, things will quiet down. Without Tucsos stirring them up, the rest of those Indians will get reasonable, just as fast as they can. You take him in alive, you'll have every 'Pache in the territory coming after him. We have had three years of this, you can stop it now."" Just as predictably, Captain Lance refuses to kill Tucsos and Lance's decision to take the Indian back sets things into action.<br /><br />Colonel Drum (Herbert Heyes of ""Union Station"") surprises Lance when he tells him he should have shot Tucsos. As it is, they need to get Tucsos to another post. Everybody from the troopers to Joe Harmony knows that taking Tucsos to Fort Grant is asking to die. The Apaches are poised in the mountains and the fort is under strength. Meantime, we are introduced to the daughter of Captain Eversham, Cathy Eversham (Barbara Payton of ""Kiss Tomorrow Goodbye""), and young Lieutenant William Holloway (Gig Young of ""They Shoot Horses, Don't They?"") and they play a part in a major narrative complication. You see, Lance and Holloway both want to marry Cathy. Clearly, Cathy wants Lance. Colonel Drum refuses to let Lance take Tucsos to Fort Grant because Drum cannot spare Lance. Drum changes the orders and Holloway is given the mission at the last minute, and everybody is shocked. Lance has never changed an order. Furthermore, Lance saw Cathy and Holloway kissing in public, and everybody thinks Lance has reassigned Holloway out of jealousy. Indeed, one officer observes that rewriting orders is about a possible as rewriting the Bible. Predictably, Tucsos escapes and the surviving troopers and Harmony bring back a dead Holloway.<br /><br />Although Drum expects a relief column of 400 troopers to arrive any day, Harmony points out to Lance that Tucsos will attack. Tucsos has seen the fort and knows their lack of strength. Lance requests to take 6 or 7 men of his choosing to man Fort Invincible and prevent Tucsos from assembling a war party. The bottleneck in the mountains keeps the Indians from riding through in strength; instead, they must come through one-at-a-time. Lance believes his men can thwart them until the relief column arrives. Drum gives him permission and Lance picks the worst men. All of them hate him and would willingly kill him.<br /><br />""Only the Valiant"" exemplifies the new breed of military western after World War II. This is not a gung-ho John Ford cavalry western. Indeed, Lance's own men want to kill him and this foreshadows the attitude of troops during the Vietnam War when they fragged their own officers. Lance bears the onus of allexcept the few who know about the circumstances that brought about the change of orders putting Holloway in charge of the detail. The black & white photography enhances the dire nature of this western. ""Only the Valiant"" amounts to a last stand western until the last minute reprieve. Reportedly, Peck hated this movie, but then this is not a spit-and-polish western in Technicolor. If anything, ""Only the Valiant"" lives up to its Warner Brothers origins. It is small but significant and it is grubby with loads of drama and unsavory characters, virtually a ""Dirty Dozen"" western.",positive
"There is something about true stories that makes them so much more interesting than fiction. I guess it is the fact that truth has always been stranger than fiction. The Falcon and the Snowman tells the true story about Christopher Boyce and his buddy Daulton Lee. Boyce (Hutton) is a former alter boy and intellectual, trying to find an occupation that can support and entertain him. His FBI father is able to pull some strings and get his idealist son a job working in the defense department. Boyce has few responsibilities and seems to be complacent drinking and goofing around with his co-workers. However, as time goes on, Boyce starts to learn top secret information that causes him to doubt the morality of his government. The idealist Boyce soon sees the illegal operations that the CIA is carrying out in above all places, Australia. Boyce eventually decides that he will leak some of the top secret info he is privy to, to the KGB. Of course, Boyce's mistake is the assumption that because the USA is doing bad things, the USSR is the good guy. Over time, Boyce and his drug-dealing buddy Lee (Penn), start to sell their top secret information to the KGB. What was once idealism, turns into capitalism and espionage. The strength of this movie is the incredible performances by Hutton and Penn. Although one of them starts off with the best intentions, they will both soon find themselves in an unending downward spiral. Great direction, music, everything. Not only a great film, but one of my all-time favorites.",positive
"I felt that this movie had a lot of heart and must have been a labor of love for Eleanor Bergstein. The primary actors (Campbell Scott, Jennifer Beals, Yancy Butler, James Goodwin III, Patrick Stewart, and Leslie Caron) were very well selected and played their parts with excellence. It was a very uplifting movie that I wish was available on tape or DVD. A rare gem.",positive
"This film always hits me hard emotionally at the end. Though the issues of the film - interracial romance and adultery - were controversial at the time, this film goes way beyond those narrow parameters of ground breaking novelty and trail blazing uniqueness. Here we have a true love story, as written by the woman involved in this love affair, told in a brilliant aggressive style that extols the virtues and glory of mad passionate love. I ""love"" this endorsement of the only emotion that makes life truly worth living. Jennifer Jones is full of grace and William Holden is simply magnificent in his role as a reporter. A wonderful film that only people who have been in this kind of love can really appreciate and understand. And for those who haven't yet been in love, even just the hope that one day lightning can strike for you makes life worth living - because love is worth having even if but for a short time - even if you lose - because love is the ""stuff"" - the essence - of life. This film works for me. A warmly felt experience!",positive
